,Meta,dsyn,acdk,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
791,0.0,0.1141891891891892,12.948717948717949,3793.012223276358,1685.9460004464827,1801.4769502243907,295.5243633570685,0.9996466785270354,0.9999999231226587
792,0.0,0.1141891891891892,13.205128205128204,1867.842993251409,871.1704392983474,303.5483365702348,19.776255454135026,0.9732308279498305,0.9660715847000971
793,0.0,0.1141891891891892,13.46153846153846,1877.2203259421858,824.5452528065139,303.44600759258446,19.631747913696017,0.9732214925888241,0.9658533978388409
794,0.0,0.1141891891891892,13.717948717948717,1885.0162976944812,784.1855625097492,303.50516800055993,19.936507163685746,0.9732111801764497,0.9657008343761599
795,0.0,0.1141891891891892,13.974358974358974,1891.6478415438378,776.1267495705533,303.4121199377478,19.85987263273819,0.9731997719728912,0.9655825583899051
796,0.0,0.1141891891891892,14.23076923076923,1897.3840412665413,779.8455405143486,305.6932200679621,20.087350304149368,0.9731884367324657,0.9654871977896501
797,0.0,0.1141891891891892,14.487179487179485,1902.3807124706036,1431.5422968480088,303.53031074725004,19.92758240904641,0.9731743760628184,0.9654078473858613
798,0.0,0.1141891891891892,14.743589743589743,1906.7931629720324,1433.4144339309105,303.4847190413966,20.203936484504084,0.9731593939505631,0.9653410551904404
799,0.0,0.1141891891891892,15.0,1910.7170217115854,1440.02297923047,303.4557577686137,18.988607046899233,0.9731465352066405,0.9652832643252207
800,0.0,0.11756756756756757,5.0,1834.8357697663023,1046.0088796748714,669.6533735138,119.16733006979848,0.9957404185525078,0.9999933703755198
801,0.0,0.11756756756756757,5.256410256410256,1922.6050564227407,1082.8597614825476,712.3009738047049,127.43955190929228,0.9963462804569123,0.9999945285063715
802,0.0,0.11756756756756757,5.512820512820513,2007.4682660886147,1117.2892336210862,754.3925077921813,135.78070249669145,0.996804382321732,0.9999954597658531
803,0.0,0.11756756756756757,5.769230769230769,2089.614432465477,1149.4401928219286,795.9709625341748,144.19739738212684,0.9972236840826716,0.9999962089453498
804,0.0,0.11756756756756757,6.0256410256410255,2169.2261165417112,1179.4469063894903,837.0818037250774,152.6915808808526,0.997543439340355,0.9999968196582018
805,0.0,0.11756756756756757,6.282051282051282,2246.478019793898,1207.4413530159836,877.7651938778463,161.26659760462599,0.9978173285374505,0.999997319084245
806,0.0,0.11756756756756757,6.538461538461538,2321.535812627598,1233.5467812811385,918.0552349311047,169.92813947787818,0.9980535999415714,0.9999977307481236
807,0.0,0.11756756756756757,6.794871794871795,2394.556451568359,1257.8802176521249,957.988833399163,178.6804917621248,0.9982877539875474,0.9999980731379665
808,0.0,0.11756756756756757,7.051282051282051,2465.6876905358313,1280.5593730439368,997.5968274768984,187.52126126322764,0.9984628667112697,0.9999983577381004
809,0.0,0.11756756756756757,7.3076923076923075,2535.068131595548,1301.7624712559264,1036.910192159903,196.35693773241292,0.9986159136182279,0.9999985960934926
810,0.0,0.11756756756756757,7.564102564102564,2602.8296875549504,1322.052466320185,1075.9536160419684,204.5881997715851,0.9987501319248908,0.9999987949531063
811,0.0,0.11756756756756757,7.82051282051282,2669.0945838358293,1341.4276329461145,1114.755652860622,212.03240531584015,0.9988682157177146,0.9999989635999806
812,0.0,0.11756756756756757,8.076923076923077,2733.9780219171535,1360.724862366893,1153.3339642384599,218.46859657917776,0.99897242244272,0.9999991053884457
813,0.0,0.11756756756756757,8.333333333333332,2797.588763648452,1378.4526378001447,1191.712951219988,224.941437006677,0.9990841694981308,0.9999992272378692
814,0.0,0.11756756756756757,8.58974358974359,2860.029259784439,1397.5399960277218,1229.9110191670788,230.1069664652614,0.9991639969112752,0.999999330606486
815,0.0,0.11756756756756757,8.846153846153847,2921.3956341564553,1413.5060294775994,1267.9477055364805,235.21846776000166,0.9992350528637844,0.9999994187543874
816,0.0,0.11756756756756757,9.102564102564102,2981.7907411806773,1429.054343101323,1305.8374682764497,241.2097581957396,0.9992984685294938,0.9999994940697459
817,0.0,0.11756756756756757,9.358974358974358,3041.2659109726383,1446.4339946198652,1343.5940236031902,243.05669589311947,0.999355209674376,0.999999558703547
818,0.0,0.11756756756756757,9.615384615384615,3099.8839791628134,1461.276623160922,1381.2323756005644,246.79424108458534,0.9994061033246223,0.9999996145554121
819,0.0,0.11756756756756757,9.871794871794872,3157.8733748918603,1474.3144783521548,1418.7651332640535,249.63907817685572,0.9994518597432367,0.999999662620417
820,0.0,0.11756756756756757,10.128205128205128,3215.1458647378004,1493.912025778458,1456.2021407404973,253.84418974540722,0.9994930905016045,0.9999997042816087
821,0.0,0.11756756756756757,10.384615384615383,3271.827576672722,1506.6263007299422,1493.553924981179,262.31370651391126,0.999542040018695,0.9999997401915005
822,0.0,0.11756756756756757,10.64102564102564,3327.958330512828,1522.6034822819847,1530.8158290745305,264.7084159400147,0.9995745945440493,0.9999997714718638
823,0.0,0.11756756756756757,10.897435897435898,3380.406841182835,1533.6740523770368,1566.5089388330198,271.5740174057769,0.9996030234762021,0.9999997983666684
824,0.0,0.11756756756756757,11.153846153846153,3427.010551645538,1543.3500927628756,1599.4023591126333,276.0232771226092,0.999627109527015,0.9999998219040218
825,0.0,0.11756756756756757,11.410256410256409,3473.2955897210704,1555.486566539842,1630.595006943896,277.60290599996006,0.9996482369770721,0.9999998427958658
826,0.0,0.11756756756756757,11.666666666666666,3516.529091402497,1566.8314183201746,1660.5702335842507,278.3296709057722,0.9996670975869092,0.9999998610635485
827,0.0,0.11756756756756757,11.923076923076923,3558.5984279564354,1576.505545810508,1689.561904936083,281.5863892059897,0.9996841020700782,0.9999998766410172
