,Meta,dsyn,ddeg,Period,G1,SG2,M,E2F Amplitude,APC Amplitude
1141,0.0,0.07777777777777778,0.009141414141414141,3701.9636392827324,2784.7082794860817,802.6646934681339,114.87468150798486,0.9811556004573658,0.9999933640097061
1142,0.0,0.07777777777777778,0.009242424242424243,3779.645517717435,2860.1518712413053,806.0948685882868,114.68753056216065,0.9805482140683841,0.9999933651398651
1143,0.0,0.07777777777777778,0.009343434343434343,3858.834716282792,2939.306578174499,809.4158305639194,114.50470604480051,0.9799227439349665,0.9999933629546287
1144,0.0,0.07777777777777778,0.009444444444444443,3945.7401047348367,3022.5969563869294,812.6157839759126,114.32562780518765,0.9792790963036615,0.9999933658427163
1145,0.0,0.07777777777777778,0.009545454545454544,4036.3858701538793,3110.527397174583,815.6524810901064,114.14948016027574,0.9786171872853601,0.9999933691228469
1146,0.0,0.07777777777777778,0.009646464646464646,4133.258504416158,3203.6872409012212,818.5047807000628,113.97784528214925,0.9779369455727897,0.9999933670734453
1147,0.0,0.07777777777777778,0.009747474747474748,4233.10875735379,3302.7852623754243,821.1351925810222,113.80927299030736,0.9772383153788786,0.9999933698715862
1148,0.0,0.07777777777777778,0.009848484848484848,4339.994404270456,3408.671065946759,823.4975504236154,113.6446161495378,0.9765212607640019,0.9999933666944049
1149,0.0,0.07777777777777778,0.009949494949494948,4458.779408836768,3522.3934238212623,825.5323565418548,113.48220121720715,0.9757857709495998,0.9999933703592442
1150,0.0,0.07777777777777778,0.01005050505050505,4585.360297203749,3645.2380136561333,827.1637896093389,113.32296327910262,0.9750318679207937,0.9999933665846026
1151,0.0,0.07777777777777778,0.010151515151515151,4714.112961686882,3778.8568407528264,827.551989210634,113.16732350771781,0.974605479791256,0.9999933674791444
1152,0.0,0.07777777777777778,0.010252525252525253,4865.386885308248,3925.3003572789075,828.1388815558339,113.01548395212194,0.9737852634140075,0.9999933682817307
1153,0.0,0.07777777777777778,0.010353535353535353,5023.574985017398,4082.2401674863936,828.4410118943197,112.86472472507376,0.9729463375085189,0.9999933679989154
1154,0.0,0.07777777777777778,0.010454545454545454,5208.354087297431,4264.274694782853,827.0308187610208,112.71948031771535,0.9720891274485406,0.9999933680435843
1155,0.0,0.07777777777777778,0.010555555555555554,5405.208316125199,4470.71017193343,824.1808645597666,112.57557861082023,0.9712142508505553,0.0
1156,0.0,0.07777777777777778,0.010656565656565656,5636.5959647958925,4709.0177776552855,819.3419945002133,112.4345562076669,0.9703226193151605,0.0
1157,0.0,0.07777777777777778,0.010757575757575757,5913.911167521534,4990.617391560154,811.6491006850156,112.29546516410483,0.9694156158300781,0.0
1158,0.0,0.07777777777777778,0.010858585858585859,6243.259991281264,5334.252382522456,799.633288981222,112.15924118411567,0.9684954285879953,0.0
1159,0.0,0.07777777777777778,0.010959595959595959,6665.142918602075,5772.558541626583,1047.5323356733852,112.07554344230948,0.0,0.0
