,Meta,tau,a,Cdk1_Period,Cdk1_Amplitude
322,0.0,0.10101010101010101,3.0688685449542525,0.0,0.0
323,0.0,0.10101010101010101,3.2083625697249003,0.0,0.0
324,0.0,0.10101010101010101,3.347856594495548,0.0,0.0
325,0.0,0.10101010101010101,3.4873506192661963,0.0,0.0
326,0.0,0.10101010101010101,3.626844644036844,0.0,0.0
327,0.0,0.10101010101010101,3.766338668807492,0.0,0.0
328,0.0,0.10101010101010101,3.9058326935781396,0.0,0.0
329,0.0,0.10101010101010101,4.045326718348788,0.0,0.0
330,0.0,0.10101010101010101,4.1848207431194355,0.0,0.0
331,0.0,0.10101010101010101,4.324314767890083,0.0,0.0
332,0.0,0.10101010101010101,4.463808792660731,0.0,0.0
333,0.0,0.10101010101010101,4.603302817431379,0.0,0.0
334,0.0,0.10101010101010101,4.742796842202027,0.0,0.0
335,0.0,0.10101010101010101,4.882290866972674,0.0,0.0
336,0.0,0.10101010101010101,5.021784891743322,0.0,0.0
337,0.0,0.10101010101010101,5.16127891651397,0.0,0.0
338,0.0,0.10101010101010101,5.3007729412846185,0.0,0.0
339,0.0,0.10101010101010101,5.440266966055266,0.0,0.0
340,0.0,0.10101010101010101,5.579760990825914,0.0,0.0
341,0.0,0.10101010101010101,5.719255015596562,0.0,0.0
342,0.0,0.10101010101010101,5.85874904036721,0.0,0.0
343,0.0,0.10101010101010101,5.998243065137857,0.0,0.0
344,0.0,0.10101010101010101,6.137737089908505,0.0,0.0
345,0.0,0.10101010101010101,6.277231114679153,0.0,0.0
346,0.0,0.10101010101010101,6.416725139449801,0.0,0.0
347,0.0,0.10101010101010101,6.556219164220448,0.0,0.0
348,0.0,0.10101010101010101,6.695713188991096,0.0,0.0
349,0.0,0.10101010101010101,6.835207213761745,0.0,0.0
350,0.0,0.10101010101010101,6.9747012385323925,0.0,0.0
351,0.0,0.10101010101010101,7.11419526330304,0.0,0.0
352,0.0,0.10101010101010101,7.253689288073688,0.0,0.0
353,0.0,0.10101010101010101,7.393183312844336,0.0,0.0
354,0.0,0.10101010101010101,7.532677337614984,0.0,0.0
355,0.0,0.10101010101010101,7.672171362385631,0.0,0.0
356,0.0,0.10101010101010101,7.811665387156279,0.0,0.0
357,0.0,0.10101010101010101,7.951159411926927,0.0,0.0
358,0.0,0.10101010101010101,8.090653436697576,0.0,0.0
359,0.0,0.10101010101010101,8.230147461468222,0.0,0.0
360,0.0,0.10101010101010101,8.369641486238871,0.0,0.0
361,0.0,0.10101010101010101,8.509135511009518,0.0,0.0
362,0.0,0.10101010101010101,8.648629535780167,0.0,0.0
363,0.0,0.10101010101010101,8.788123560550813,0.0,0.0
364,0.0,0.10101010101010101,8.927617585321462,0.0,0.0
365,0.0,0.10101010101010101,9.06711161009211,0.0,0.0
366,0.0,0.10101010101010101,9.206605634862758,0.0,0.0
367,0.0,0.10101010101010101,9.346099659633406,0.0,0.0
368,0.0,0.10101010101010101,9.485593684404053,0.0,0.0
369,0.0,0.10101010101010101,9.625087709174702,0.0,0.0
370,0.0,0.10101010101010101,9.764581733945349,0.0,0.0
371,0.0,0.10101010101010101,9.904075758715997,0.0,0.0
372,0.0,0.10101010101010101,10.043569783486644,0.0,0.0
373,0.0,0.10101010101010101,10.183063808257293,0.0,0.0
374,0.0,0.10101010101010101,10.32255783302794,0.0,0.0
375,0.0,0.10101010101010101,10.462051857798588,0.0,0.0
376,0.0,0.10101010101010101,10.601545882569237,0.0,0.0
377,0.0,0.10101010101010101,10.741039907339884,0.0,0.0
378,0.0,0.10101010101010101,10.880533932110533,0.0,0.0
379,0.0,0.10101010101010101,11.02002795688118,0.0,0.0
380,0.0,0.10101010101010101,11.159521981651828,0.0,0.0
381,0.0,0.10101010101010101,11.299016006422475,0.0,0.0
382,0.0,0.10101010101010101,11.438510031193124,0.0,0.0
383,0.0,0.10101010101010101,11.57800405596377,0.0,0.0
384,0.0,0.10101010101010101,11.71749808073442,0.0,0.0
385,0.0,0.10101010101010101,11.856992105505066,0.0,0.0
386,0.0,0.10101010101010101,11.996486130275715,0.0,0.0
387,0.0,0.10101010101010101,12.135980155046363,0.0,0.0
388,0.0,0.10101010101010101,12.27547417981701,0.0,0.0
389,0.0,0.10101010101010101,12.414968204587659,0.0,0.0
390,0.0,0.10101010101010101,12.554462229358306,0.0,0.0
391,0.0,0.10101010101010101,12.693956254128954,0.0,0.0
392,0.0,0.10101010101010101,12.833450278899601,0.0,0.0
393,0.0,0.10101010101010101,12.97294430367025,0.0,0.0
394,0.0,0.10101010101010101,13.112438328440897,0.0,0.0
395,0.0,0.10101010101010101,13.251932353211545,0.0,0.0
396,0.0,0.10101010101010101,13.391426377982192,0.0,0.0
397,0.0,0.10101010101010101,13.530920402752841,0.0,0.0
398,0.0,0.10101010101010101,13.67041442752349,0.0,0.0
399,0.0,0.10101010101010101,13.809908452294136,0.0,0.0
400,0.0,0.10101010101010101,13.949402477064785,0.0,0.0
401,0.0,0.10101010101010101,14.088896501835432,0.0,0.0
402,0.0,0.10101010101010101,14.22839052660608,0.0,0.0
403,0.0,0.10101010101010101,14.367884551376727,0.0,0.0
404,0.0,0.10101010101010101,14.507378576147376,0.0,0.0
405,0.0,0.10101010101010101,14.646872600918023,0.0,0.0
406,0.0,0.10101010101010101,14.786366625688672,0.0,0.0
407,0.0,0.10101010101010101,14.92586065045932,0.0,0.0
408,0.0,0.10101010101010101,15.065354675229967,0.0,0.0
409,0.0,0.10101010101010101,15.204848700000616,0.0,0.0
410,0.0,0.10101010101010101,15.344342724771263,0.0,0.0
411,0.0,0.10101010101010101,15.483836749541911,0.0,0.0
412,0.0,0.10101010101010101,15.623330774312558,0.0,0.0
413,0.0,0.10101010101010101,15.762824799083207,0.0,0.0
414,0.0,0.10101010101010101,15.902318823853854,0.0,0.0
415,0.0,0.10101010101010101,16.041812848624502,0.0,0.0
416,0.0,0.10101010101010101,16.18130687339515,0.0,0.0
417,0.0,0.10101010101010101,16.320800898165796,0.0,0.0
418,0.0,0.10101010101010101,16.460294922936445,0.0,0.0
419,0.0,0.10101010101010101,16.599788947707093,0.0,0.0
420,0.0,0.10101010101010101,16.739282972477742,0.0,0.0
421,0.0,0.10101010101010101,16.87877699724839,0.0,0.0
422,0.0,0.10101010101010101,17.018271022019036,0.0,0.0
423,0.0,0.10101010101010101,17.157765046789685,0.0,0.0
424,0.0,0.10101010101010101,17.297259071560333,0.0,0.0
425,0.0,0.10101010101010101,17.436753096330982,0.0,0.0
426,0.0,0.10101010101010101,17.576247121101627,0.0,0.0
427,0.0,0.10101010101010101,17.715741145872276,0.0,0.0
428,0.0,0.10101010101010101,17.855235170642924,0.0,0.0
429,0.0,0.10101010101010101,17.994729195413573,0.0,0.0
430,0.0,0.10101010101010101,18.13422322018422,0.0,0.0
431,0.0,0.10101010101010101,18.273717244954867,0.0,0.0
432,0.0,0.10101010101010101,18.413211269725515,0.0,0.0
433,0.0,0.10101010101010101,18.552705294496164,0.0,0.0
434,0.0,0.10101010101010101,18.692199319266813,0.0,0.0
435,0.0,0.10101010101010101,18.831693344037458,0.0,0.0
436,0.0,0.10101010101010101,18.971187368808106,0.0,0.0
437,0.0,0.10101010101010101,19.110681393578755,0.0,0.0
438,0.0,0.10101010101010101,19.250175418349404,0.0,0.0
439,0.0,0.10101010101010101,19.389669443120052,0.0,0.0
440,0.0,0.10101010101010101,19.529163467890697,0.0,0.0
441,0.0,0.10101010101010101,19.668657492661346,0.0,0.0
442,0.0,0.10101010101010101,19.808151517431995,0.0,0.0
443,0.0,0.10101010101010101,19.947645542202643,0.0,0.0
444,0.0,0.10101010101010101,20.08713956697329,0.0,0.0
445,0.0,0.10101010101010101,20.226633591743937,0.0,0.0
446,0.0,0.10101010101010101,20.366127616514586,0.0,0.0
447,0.0,0.10101010101010101,20.505621641285234,0.0,0.0
448,0.0,0.10101010101010101,20.64511566605588,0.0,0.0
449,0.0,0.10101010101010101,20.784609690826528,0.0,0.0
450,0.0,0.15151515151515152,0.0,0.0,0.0
451,0.0,0.15151515151515152,0.13949402477064785,0.0,0.0
452,0.0,0.15151515151515152,0.2789880495412957,0.0,0.0
453,0.0,0.15151515151515152,0.4184820743119435,0.0,0.0
454,0.0,0.15151515151515152,0.5579760990825914,0.0,0.0
455,0.0,0.15151515151515152,0.6974701238532393,0.0,0.0
456,0.0,0.15151515151515152,0.836964148623887,0.0,0.0
457,0.0,0.15151515151515152,0.9764581733945349,0.0,0.0
458,0.0,0.15151515151515152,1.1159521981651828,0.0,0.0
459,0.0,0.15151515151515152,1.2554462229358305,0.0,0.0
460,0.0,0.15151515151515152,1.3949402477064785,0.0,0.0
461,0.0,0.15151515151515152,1.5344342724771263,0.0,0.0
462,0.0,0.15151515151515152,1.673928297247774,0.0,0.0
463,0.0,0.15151515151515152,1.813422322018422,0.0,0.0
464,0.0,0.15151515151515152,1.9529163467890698,0.0,0.0
465,0.0,0.15151515151515152,2.0924103715597178,0.0,0.0
466,0.0,0.15151515151515152,2.2319043963303655,0.0,0.0
