,Meta,bsyn,bdeg,Apc_Period_Module,Apc_Amplitude_Module,Apc_Period_MA,Apc_Amplitude_MA
291,0.0,0.3079710144927536,0.06594202898550725,0.0,0.0,0.0,0.0
292,0.0,0.3079710144927536,0.06739130434782609,0.0,0.0,0.0,0.0
293,0.0,0.3079710144927536,0.06884057971014493,0.0,0.0,0.0,0.0
294,0.0,0.3079710144927536,0.07028985507246377,0.0,0.0,0.0,0.0
295,0.0,0.3079710144927536,0.07173913043478261,0.0,0.0,0.0,0.0
296,0.0,0.3079710144927536,0.07318840579710145,0.0,0.0,0.0,0.0
297,0.0,0.3079710144927536,0.0746376811594203,0.0,0.0,0.0,0.0
298,0.0,0.3079710144927536,0.07608695652173914,0.0,0.0,0.0,0.0
299,0.0,0.3079710144927536,0.07753623188405798,0.0,0.0,0.0,0.0
300,0.0,0.3079710144927536,0.07898550724637682,0.0,0.0,0.0,0.0
301,0.0,0.3079710144927536,0.08043478260869565,0.0,0.0,0.0,0.0
302,0.0,0.3079710144927536,0.0818840579710145,0.0,0.0,0.0,0.0
303,0.0,0.3079710144927536,0.08333333333333333,0.0,0.0,0.0,0.0
304,0.0,0.3079710144927536,0.08478260869565217,0.0,0.0,0.0,0.0
305,0.0,0.3079710144927536,0.08623188405797101,0.0,0.0,0.0,0.0
306,0.0,0.3079710144927536,0.08768115942028985,0.0,0.0,0.0,0.0
307,0.0,0.3079710144927536,0.0891304347826087,0.0,0.0,0.0,0.0
308,0.0,0.3079710144927536,0.09057971014492754,0.0,0.0,0.0,0.0
309,0.0,0.3079710144927536,0.09202898550724636,0.0,0.0,0.0,0.0
310,0.0,0.3079710144927536,0.0934782608695652,0.0,0.0,0.0,0.0
311,0.0,0.3079710144927536,0.09492753623188405,0.0,0.0,0.0,0.0
312,0.0,0.3079710144927536,0.09637681159420289,0.0,0.0,0.0,0.0
313,0.0,0.3079710144927536,0.09782608695652173,0.0,0.0,0.0,0.0
314,0.0,0.3079710144927536,0.09927536231884057,0.0,0.0,0.0,0.0
315,0.0,0.3079710144927536,0.10072463768115941,0.0,0.0,0.0,0.0
316,0.0,0.3079710144927536,0.10217391304347825,0.0,0.0,0.0,0.0
317,0.0,0.3079710144927536,0.1036231884057971,0.0,0.0,0.0,0.0
318,0.0,0.3079710144927536,0.10507246376811594,0.0,0.0,0.0,0.0
319,0.0,0.3079710144927536,0.10652173913043478,0.0,0.0,0.0,0.0
320,0.0,0.3079710144927536,0.10797101449275362,0.0,0.0,0.0,0.0
321,0.0,0.3079710144927536,0.10942028985507246,0.0,0.0,0.0,0.0
322,0.0,0.3079710144927536,0.1108695652173913,0.0,0.0,0.0,0.0
323,0.0,0.3079710144927536,0.11231884057971014,0.0,0.0,0.0,0.0
324,0.0,0.3079710144927536,0.11376811594202899,0.0,0.0,0.0,0.0
325,0.0,0.3079710144927536,0.11521739130434781,0.0,0.0,0.0,0.0
326,0.0,0.3079710144927536,0.11666666666666665,0.0,0.0,0.0,0.0
327,0.0,0.3079710144927536,0.1181159420289855,0.0,0.0,0.0,0.0
328,0.0,0.3079710144927536,0.11956521739130434,0.0,0.0,0.0,0.0
329,0.0,0.3079710144927536,0.12101449275362318,0.0,0.0,0.0,0.0
330,0.0,0.3079710144927536,0.12246376811594202,0.0,0.0,0.0,0.0
331,0.0,0.3079710144927536,0.12391304347826086,0.0,0.0,0.0,0.0
